episode,date_id,seed,is_naive,gamma,demand_scale,platoon_factor,experiment_horizon,double_layer_horizon,coeffs_up,coeffs_dn,waits,moves,total
33,29,33,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,27024.0,22535.05409877948,49559.05409877948
34,30,34,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,31371.0,22253.738911365755,53624.738911365755
35,31,35,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,22197.0,22550.93369043538,44747.933690435384
36,15,36,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,30840.0,21591.419510839696,52431.419510839696
37,16,37,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,31200.0,21936.88838302099,53136.88838302099
38,17,38,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,35592.0,22877.972153508726,58469.97215350873
39,20,39,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,25290.0,22415.992598240602,47705.9925982406
40,21,40,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,21840.0,22768.875763179356,44608.875763179356
41,22,41,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,30402.0,22222.965834453906,52624.965834453906
42,23,42,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,29355.0,22693.26820219383,52048.26820219383
43,27,43,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,21321.0,22751.89166701187,44072.89166701187
44,28,44,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,21333.0,22637.287282936344,43970.28728293635
45,29,45,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,36258.0,21663.84422516666,57921.84422516666
46,30,46,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,28941.0,22329.117908831307,51270.11790883131
47,31,47,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,23214.0,20450.960085657807,43664.9600856578
48,15,48,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,32382.0,22804.41683759833,55186.41683759833
49,16,49,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,36735.0,22019.89038920012,58754.890389200125
50,17,50,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,36102.0,23012.3722233798,59114.3722233798
